Brand,Type,Year,Fuel,Displacement,Turbo,OilChangeCost,FuelEconomy,TankCapacity,Category,MarketPrice
1,11,2004,1,1500,0,500000,10.0,50,1,70000000
1,11,2005,1,1500,0,500000,10.0,50,1,73000000
1,11,2006,1,1500,0,500000,10.0,50,1,76000000
1,11,2007,1,1500,0,500000,10.0,50,1,79000000
1,11,2008,1,1500,0,500000,10.0,50,1,82000000
1,11,2009,1,1500,0,500000,10.0,50,1,85000000
1,11,2010,1,1500,0,500000,10.0,50,1,88000000
1,11,2011,1,1500,0,500000,10.0,50,1,91000000
1,11,2012,1,1500,0,500000,10.0,50,1,94000000
1,11,2013,1,1500,0,500000,10.0,50,1,97000000
1,11,2014,1,1500,0,500000,10.0,50,1,100000000
1,11,2015,1,1500,0,500000,10.0,50,1,110000000
1,11,2016,1,1500,0,500000,10.0,50,1,120000000
1,11,2017,1,1500,0,500000,10.0,50,1,130000000
1,11,2018,1,1500,0,500000,10.0,50,1,140000000
1,12,2004,1,2000,0,600000,6.7,50,1,90000000
1,12,2005,1,2000,0,600000,6.7,50,1,100000000
1,12,2006,1,2000,0,600000,6.7,50,1,110000000
1,12,2007,1,2000,0,600000,6.7,50,1,120000000
1,12,2008,1,2000,0,600000,6.7,50,1,130000000
1,12,2009,1,2000,0,600000,6.7,50,1,140000000
1,12,2010,1,2000,0,600000,6.7,50,1,150000000
1,12,2011,1,2000,0,600000,6.7,50,1,160000000
1,12,2012,1,2000,0,600000,6.7,50,1,170000000
1,12,2013,1,2000,0,600000,6.7,50,1,180000000
1,12,2014,1,2000,0,600000,6.7,50,1,190000000
1,12,2015,1,2000,0,600000,6.7,50,1,200000000
1,12,2016,1,2000,0,600000,7.0,55,1,250000000
1,12,2017,1,2000,0,600000,7.0,55,1,260000000
1,12,2018,1,2000,0,600000,7.0,55,1,270000000
1,12,2004,2,2500,1,750000,9.2,50,1,100000000
1,12,2005,2,2500,1,750000,9.2,50,1,110000000
1,12,2006,2,2500,1,750000,9.2,50,1,120000000
1,12,2007,2,2500,1,750000,9.2,50,1,130000000
1,12,2008,2,2500,1,750000,9.2,50,1,140000000
1,12,2009,2,2500,1,750000,9.2,50,1,150000000
1,12,2010,2,2500,1,750000,9.2,50,1,160000000
1,12,2011,2,2500,1,750000,9.2,50,1,170000000
1,12,2012,2,2500,1,750000,9.2,50,1,180000000
1,12,2013,2,2500,1,750000,9.2,50,1,190000000
1,12,2014,2,2500,1,750000,9.2,50,1,200000000
1,12,2015,2,2500,1,750000,9.2,50,1,210000000
1,12,2016,2,2400,1,1000000,9.7,55,1,280000000
1,12,2017,2,2400,1,1000000,9.7,55,1,290000000
1,12,2018,2,2400,1,1000000,9.7,55,1,300000000
1,12,2019,2,2400,1,1000000,9.7,55,1,310000000
1,13,2006,1,1500,0,500000,8.8,42,2,80000000
1,13,2007,1,1500,0,500000,8.8,42,2,90000000
1,13,2008,1,1500,0,500000,8.8,42,2,100000000
1,13,2009,1,1500,0,500000,8.8,42,2,110000000
1,13,2010,1,1500,0,500000,8.8,42,2,120000000
1,13,2011,1,1500,0,500000,8.8,42,2,125000000
1,13,2012,1,1500,0,500000,8.8,42,2,130000000
1,13,2013,1,1500,0,500000,8.8,42,2,135000000
1,13,2014,1,1500,0,500000,8.8,42,2,145000000
1,13,2015,1,1500,0,650000,8.8,42,2,150000000
1,13,2016,1,1500,0,650000,9.0,42,2,155000000
1,13,2017,1,1500,0,650000,9.0,42,2,165000000
1,13,2018,1,1500,0,650000,9.0,42,2,170000000
1,14,2005,1,2700,0,700000,6.3,63,3,150000000
1,14,2006,1,2700,0,700000,6.3,63,3,160000000
1,14,2007,1,2700,0,700000,6.3,63,3,170000000
1,14,2008,1,2700,0,700000,6.3,63,3,180000000
1,14,2009,1,2700,0,700000,6.3,63,3,190000000
1,14,2010,1,2700,0,700000,6.3,63,3,200000000
1,14,2011,1,2700,0,700000,6.3,63,3,210000000
1,14,2012,1,2700,0,700000,6.3,63,3,220000000
1,14,2013,1,2700,0,700000,6.3,63,3,230000000
1,14,2014,1,2700,0,700000,6.3,63,3,240000000
1,14,2015,1,2700,0,700000,6.3,63,3,250000000
1,14,2016,1,2700,0,1000000,7.0,63,3,350000000
1,14,2017,1,2700,0,1000000,7.0,63,3,360000000
1,14,2018,1,2700,0,1000000,7.0,63,3,370000000
1,14,2019,1,2700,0,1000000,7.0,63,3,380000000
1,14,2007,2,2500,1,800000,9.2,63,3,175000000
1,14,2008,2,2500,1,800000,9.2,63,3,185000000
1,14,2009,2,2500,1,800000,9.2,63,3,195000000
1,14,2010,2,2500,1,800000,9.2,63,3,205000000
1,14,2011,2,2500,1,800000,9.2,63,3,215000000
1,14,2012,2,2500,1,800000,9.2,63,3,225000000
1,14,2013,2,2500,1,800000,9.2,63,3,235000000
1,14,2014,2,2500,1,800000,9.2,63,3,245000000
1,14,2015,2,2500,1,800000,9.2,63,3,255000000
1,14,2016,2,2400,1,1100000,9.7,63,3,390000000
1,14,2017,2,2400,1,1100000,9.7,63,3,400000000
1,14,2018,2,2400,1,1100000,9.7,63,3,410000000
1,14,2019,2,2400,1,1100000,9.7,63,3,420000000
1,15,2006,1,1500,0,500000,8.9,50,1,115000000
1,15,2007,1,1500,0,500000,8.9,50,1,120000000
1,15,2008,1,1500,0,500000,8.9,50,1,125000000
1,15,2009,1,1500,0,500000,8.9,50,1,130000000
